107,55,61,122,44,121,2014,231
125,47,101,146,52,63,2044,349
131,52,111,156,53,60,2048,414
126,58,148,153,61,63,2048,429
131,64,164,151,62,71,2047,452
134,68,158,145,65,70,2046,466
146,73,152,161,66,71,2046,513
145,76,154,156,65,71,2047,499
151,81,130,146,61,71,2047,543
149,77,120,148,59,60,2047,538
141,78,139,140,56,56,2047,600
138,77,141,88,52,48,2047,552
142,77,158,98,57,51,2047,547
146,83,179,96,58,50,2047,541
162,94,202,100,62,56,2047,571
174,95,218,104,61,61,2047,558
165,103,242,102,65,62,2047,524
171,106,234,83,61,68,2047,579
176,99,264,88,62,73,2047,561
164,92,255,83,60,69,2047,554
150,89,240,80,55,65,2047,474
129,73,228,77,48,64,2047,483
116,66,223,76,44,54,2047,402
97,55,159,58,36,47,2047,364
94,51,139,48,36,55,2047,285
103,70,122,45,37,54,2047,264
102,101,67,50,39,51,2047,195
96,116,53,61,44,51,2047,139
101,167,57,61,44,48,2047,125
116,193,102,97,45,38,2047,92
133,205,129,150,52,39,2047,100
137,199,136,194,56,42,2047,99
139,205,138,199,52,43,2047,100
162,183,140,207,60,44,2047,134
151,167,117,212,63,43,2047,141
149,147,85,182,58,41,2047,143
155,152,76,134,55,38,2047,143
165,150,87,125,57,34,2047,136
153,141,81,112,50,29,2047,95
164,134,78,80,45,27,2047,78
148,135,79,75,44,28,2047,53
158,140,86,115,50,28,2047,52
150,128,73,117,49,29,2047,50
133,120,72,119,48,29,2047,52
112,119,63,114,49,28,2047,49
111,112,60,116,50,36,2047,49
92,115,44,78,42,34,2047,42
92,110,38,105,45,33,2047,38
90,107,35,101,43,32,2047,32
96,102,34,102,40,36,2047,37
99,104,33,99,36,28,2047,38
88,68,32,101,38,29,2047,38
78,66,28,66,39,31,2047,39
84,65,30,74,41,32,2047,38
75,69,30,78,44,31,2047,36
70,65,30,80,44,32,2047,35
72,66,27,70,41,32,2047,33
100,160,56,85,40,37,2025,99
95,133,54,88,45,35,2043,98
94,115,45,87,44,36,2046,94
91,103,44,90,47,38,2047,73
84,85,63,108,42,36,2046,86
105,85,98,105,44,37,2045,207
114,72,134,116,43,37,2046,280
111,73,190,128,47,49,2046,347
133,86,222,128,58,72,2047,420
147,95,236,113,60,78,2047,505
142,109,268,114,67,88,2046,537
143,126,286,105,67,91,2047,528
163,142,291,99,70,93,2047,600
159,138,302,85,59,79,2047,575
166,135,308,85,63,83,2047,579
190,123,285,76,58,83,2047,582
210,117,285,77,58,81,2047,625
209,88,260,69,53,79,2047,602
209,85,224,88,58,78,2047,625
198,77,200,91,54,69,2047,601
166,74,179,88,52,63,2047,542
136,68,121,89,60,75,2047,485
109,85,93,111,70,84,2047,379
107,211,87,123,75,82,2047,300
109,232,77,121,74,85,2047,193
112,254,74,137,74,83,2047,176
127,266,86,134,67,72,2047,119
148,275,89,147,61,55,2047,109
154,204,84,125,48,53,2047,99
154,186,82,123,51,51,2047,82
156,171,80,107,46,48,2047,85
143,171,65,117,52,46,2047,101
125,148,50,92,47,45,2047,99
101,137,47,92,49,44,2047,100
93,128,46,106,47,45,2047,92
91,107,48,105,47,44,2047,90
96,63,102,105,41,39,2047,194
104,74,273,121,45,44,2047,222
127,84,316,120,49,46,2047,368
150,89,327,112,55,51,2047,443
166,102,354,113,58,58,2047,538
178,119,363,110,63,68,2047,629
178,117,278,76,61,67,2047,660
173,113,259,84,61,74,2047,650
162,114,260,109,58,72,2047,643
156,112,238,117,60,73,2047,614
140,104,238,116,54,65,2047,539
155,105,247,128,57,67,2047,522
167,109,223,124,54,62,2047,498
169,108,217,103,54,60,2047,497
158,99,199,94,51,55,2047,444
162,100,159,86,56,67,2047,390
142,100,105,61,50,65,2047,352
114,149,92,63,50,65,2047,281
100,172,64,66,50,63,2047,176
106,177,63,86,62,64,2047,155
101,178,57,89,57,49,2047,130
135,197,63,92,59,50,2047,118
158,165,57,88,57,46,2047,101
160,146,52,91,54,45,2047,89
156,142,45,72,41,45,2047,86
155,133,46,69,42,45,2047,97
133,96,39,77,39,39,2047,120
111,84,38,95,46,50,2047,133
129,62,36,96,46,51,2047,138
127,51,37,102,44,46,2047,139
