66,38,40,58,48,129,2014,55
63,35,38,57,51,74,2044,40
53,33,38,60,64,80,2048,39
49,30,40,57,62,82,2048,60
40,33,44,58,59,79,2047,59
38,32,42,51,58,81,2046,58
46,33,43,53,60,85,2046,60
54,35,44,51,51,82,2047,60
56,37,43,53,54,67,2047,50
62,34,36,48,60,71,2047,69
65,33,33,52,63,68,2047,73
62,37,34,64,65,71,2047,72
55,36,33,65,64,70,2047,79
56,33,32,65,59,68,2047,71
63,34,34,65,55,63,2047,57
65,38,36,64,52,63,2047,65
61,33,34,51,47,59,2047,67
63,36,37,50,48,59,2047,64
69,39,38,45,48,63,2047,66
62,36,35,45,49,68,2047,63
59,34,35,47,49,81,2047,51
57,35,36,47,46,83,2047,47
55,33,34,50,53,137,2047,44
46,34,36,51,57,147,2047,59
38,37,37,51,63,266,2047,69
48,39,45,58,91,406,2047,100
86,52,64,61,117,640,2047,244
158,91,78,78,182,855,2047,555
249,123,91,125,301,1057,2047,706
297,154,125,194,351,1110,2047,751
343,169,148,293,374,1116,2047,803
342,169,155,320,441,1210,2047,800
326,165,182,369,439,1111,2047,664
266,149,184,369,403,958,2047,518
219,120,167,343,367,958,2047,458
160,105,150,266,348,949,2047,364
184,109,148,240,258,720,2047,318
196,88,106,147,225,684,2047,238
236,78,93,110,163,724,2047,202
372,86,87,98,155,621,2047,255
410,83,78,120,155,562,2047,330
452,77,66,315,212,494,2047,342
446,80,84,561,545,441,2047,414
426,93,163,802,675,301,2047,522
317,87,186,974,762,262,2047,570
263,93,211,1023,861,255,2047,544
151,99,227,1058,929,251,2047,541
128,98,228,963,801,249,2047,496
124,84,188,789,701,206,2047,392
103,80,170,573,608,201,2047,304
66,64,139,477,452,150,2047,284
64,47,102,280,250,136,2047,253
68,44,83,236,171,121,2047,234
69,45,69,199,148,104,2047,207
69,48,60,174,130,94,2047,200
70,46,62,164,118,92,2047,169
72,46,63,131,99,91,2047,177
69,47,67,151,103,171,2047,175
67,44,63,132,89,210,2047,169
66,40,66,137,95,382,2047,112
94,55,65,141,106,518,2047,186
138,65,72,149,118,599,2047,374
149,80,80,149,166,789,2047,446
184,94,90,148,194,920,2047,559
214,109,101,160,279,1088,2047,737
242,138,132,208,432,1371,2047,772
254,154,156,283,491,1488,2047,739
255,160,161,282,579,1525,2047,710
236,156,154,289,1044,1483,2047,632
210,149,150,300,1182,1362,2047,420
166,124,132,279,1290,1070,2047,332
114,102,100,214,1553,956,2047,229
108,90,91,204,1547,776,2047,214
127,89,105,219,1308,757,2047,238
143,89,100,187,1186,773,2047,228
186,83,91,169,1021,725,2047,223
226,87,92,155,513,587,2047,244
278,77,83,164,444,517,2047,259
309,82,70,149,374,438,2047,262
312,89,127,328,421,337,2047,359
324,96,152,470,454,292,2047,435
361,111,238,698,631,294,2047,469
368,133,294,836,798,348,2047,495
350,130,303,891,949,363,2047,482
347,127,288,925,1169,326,2047,437
314,117,278,878,1244,316,2047,354
236,97,213,720,1184,289,2047,305
148,69,133,568,1076,215,2047,233
122,64,108,476,944,168,2047,262
103,61,100,299,588,126,2047,216
106,66,92,267,366,124,2047,220
102,66,79,263,253,127,2047,206
106,58,68,223,226,109,2047,264
91,56,66,213,181,128,2047,221
88,50,61,208,173,160,2047,219
76,46,61,181,142,184,2047,210
73,45,65,151,143,220,2047,213
99,60,71,147,123,365,2047,193
127,72,73,160,125,507,2047,281
218,103,81,180,158,743,2047,468
381,143,102,196,215,868,2047,733
442,167,126,218,245,984,2047,789
446,170,150,262,368,1052,2047,861
444,169,171,318,407,1131,2047,926
242,111,118,393,338,1109,2025,743
252,122,140,448,389,1232,2043,743
237,125,146,461,394,1256,2046,687
216,123,159,470,391,1191,2046,639
202,119,141,443,368,1168,2046,551
365,114,130,275,323,1083,2045,423
434,99,105,173,253,887,2046,370
474,88,103,162,222,663,2046,277
507,92,89,239,258,668,2047,311
571,90,125,482,409,544,2046,351
506,102,227,750,692,425,2046,515
442,114,290,961,988,353,2047,585
407,151,381,1189,1172,428,2047,614
374,155,389,1232,1196,396,2047,618
260,156,386,1170,1180,367,2047,584
186,148,347,1047,1064,354,2047,451
195,139,304,864,804,329,2047,359
190,99,175,521,513,208,2047,332
174,90,157,382,429,204,2047,254
166,85,152,354,352,183,2047,230
149,70,122,268,265,146,2047,215
123,67,103,257,240,131,2047,241
91,65,100,200,200,135,2047,204
82,55,88,155,189,138,2047,202
76,53,65,142,131,166,2047,200
73,53,68,160,102,192,2047,190
62,52,72,143,82,220,2047,108
58,52,71,140,92,253,2047,123
57,52,75,137,99,329,2047,174
71,53,75,123,169,455,2047,238
86,52,74,85,205,553,2047,287
114,72,79,117,225,645,2047,405
169,111,94,125,296,784,2047,531
221,155,150,204,323,911,2047,589
245,169,173,227,312,938,2047,585
268,180,178,281,300,953,2047,591
271,191,202,342,350,1064,2047,565
242,177,205,350,299,1072,2047,469
202,144,174,335,278,980,2047,388
195,129,150,332,264,914,2047,370
242,116,143,301,257,877,2047,351
273,92,102,222,169,695,2047,291
